City,Y,X,CENSUS2010POP,POPESTIMATE2017,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,LANDAREA,TRIPS
"Monroe, LA",32.5093109,-92.1193012,176441,178445,53,-295,-534,40,-339,-290,-557,-1710,1487.394566,
"El Centro, CA",32.792,-115.5630514,174528,182830,-273,-773,-992,-2075,-582,-1331,-973,-220,4176.603337,
"Joplin, MO",37.0842271,-94.513281,175518,178507,143,130,-3132,185,109,313,209,415,1263.252246,
"Greenville, NC",35.612661,-77.3663538,168148,179042,331,1010,1235,493,-311,308,575,621,917.9020806,
"Terre Haute, IN",39.4667034,-87.4139092,172425,169965,-103,31,-186,-660,-1056,-601,-207,-364,1464.87447,
"Muskegon, MI",43.2341813,-86.2483921,172188,173693,-464,-2489,-359,1657,-440,-107,341,247,#N/A,
"Columbia, MO",38.9517053,-92.3340724,162642,178271,323,1703,1475,1163,669,696,1026,701,1149.262375,
"Oshkosh-Neenah, WI",44.0247062,-88.5426136,166994,170414,-54,31,564,284,-386,-493,-88,430,434.487049,
"Waterloo-Cedar Falls, IA",42.492786,-92.3425775,167819,169892,-3,-115,-144,388,-55,-176,-1310,-531,1503.103477,
"Dover, DE",39.158168,-75.5243682,162310,176824,375,1324,1481,1025,1718,980,797,1567,586.1788225,
"Sioux City, IA-NE-SD",42.4999942,-96.4003069,168563,168618,17,-846,-1316,-948,-980,-657,-550,-1396,2073.862065,
"Yuba City, CA",39.1404477,-121.6169108,166892,173679,-70,-1365,-1198,-436,-395,14,436,1328,1234.248882,
"Abilene, TX",32.4487364,-99.7331439,165252,170219,206,275,55,-742,-50,634,-402,-167,2743.478078,
"East Stroudsburg, PA",40.9995386,-75.1812913,169842,168046,23,-100,-1269,-1256,-132,-734,-198,1650,608.2855114,
"Bend-Redmond, OR",44.0581728,-121.3153096,157733,186875,-28,1359,1372,3503,3716,4299,6059,5772,#N/A,
"Billings, MT",45.7832856,-108.5006904,158934,170498,237,714,1280,1705,966,590,967,1039,4682.081792,
"Punta Gorda, FL",26.9297836,-82.0453664,159978,182033,251,1286,4053,3277,4781,5901,6887,5465,680.2786662,
"Eau Claire, WI",44.811349,-91.4984941,161151,167484,63,574,331,414,-293,62,547,476,1646.355804,3481706.1
"Bowling Green, KY",36.9685219,-86.4808043,158599,174835,405,1045,801,1341,1330,2201,1984,2279,844.4835517,
"Bloomington, IN",39.165325,-86.5263857,159549,167825,402,1118,590,43,930,220,1117,757,1322.292158,7222842
"Pueblo, CO",38.2544472,-104.6091409,159063,166475,302,502,282,112,87,1486,1655,1498,2386.10407,
"Iowa City, IA",41.6611277,-91.5301683,152586,171491,118,1313,1974,1699,1362,1323,972,1614,1182.874952,
"Janesville-Beloit, WI",42.6827885,-89.0187222,160331,162309,-249,-942,-298,-23,95,-409,-74,389,#N/A,
"Jackson, MI",42.245869,-84.4013462,160248,158640,-188,-827,90,-479,-375,-324,-1025,323,701.6658459,
"Kahului-Wailuku-Lahaina, HI",20.8893351,-156.4729469,154924,166348,-63,865,932,1399,1493,252,385,319,#N/A,
"Vineland-Bridgeton, NJ",39.4863773,-75.0259637,156898,152538,-92,-424,-581,-1294,-577,-1708,-1919,-1881,#N/A,
"Midland, TX",31.9973456,-102.0779146,141671,170675,-199,1965,5554,3636,2586,3686,-493,-413,900.2994744,7454670
"Albany, GA",31.5785074,-84.155741,157308,151434,-41,-810,-1315,-2136,-1393,-2213,-1660,-1396,1932.557111,
"State College, PA",40.7933949,-77.8600012,153990,162660,87,469,478,2016,1038,570,1243,349,1109.92133,
"Niles-Benton Harbor, MI",41.8297694,-86.2541768,156813,154259,-132,-266,-514,-759,-322,-824,-677,27,567.7469834,
"Alexandria, LA",31.3112936,-92.4451371,153922,153984,72,-277,-365,-62,-582,-778,-332,-798,1960.987961,
"Burlington, NC",36.0956918,-79.4377991,151131,162391,205,1062,429,749,1108,1546,1769,2841,423.9432241,
"Decatur, AL",34.6059253,-86.9833417,153829,151867,37,-73,-325,-909,-374,-575,-319,-264,1270.014721,
"Bangor, ME",44.8011821,-68.7778138,153923,151957,-111,-125,-322,-142,-102,-859,-232,638,3397.361629,
"Madera, CA",36.9613356,-120.0607176,150865,156890,-48,-585,-1336,-1343,1054,-925,-634,752,#N/A,
"Chambersburg-Waynesboro, PA",39.9375911,-77.6611022,149618,154234,110,539,59,150,249,235,393,456,#N/A,
"Elizabethtown-Fort Knox, KY",37.7030646,-85.8649408,148338,150430,1245,476,-589,-168,-1340,-4241,352,963,#N/A,2794651.8
"Wichita Falls, TX",33.9137085,-98.4933873,151306,151230,-25,-1868,280,-28,8,-2234,37,615,2619.607014,
"Hanford-Corcoran, CA",36.3274502,-119.6456844,152982,150101,-1032,-2250,-2402,-2304,-2348,-924,-2121,-1061,1389.420456,
"Auburn-Opelika, AL",32.6098566,-85.4807825,140247,161604,329,2444,3354,2308,2028,1702,1307,1716,607.5359145,
"Rocky Mount, NC",35.9382103,-77.7905339,152392,146738,-41,-791,-1161,-1160,-967,-1420,-298,-500,1045.742745,
"Jefferson City, MO",38.5767017,-92.1735164,149807,151465,28,-172,-521,-263,-432,-287,63,-386,2247.696076,
"Monroe, MI",41.9164343,-83.3977101,152021,149649,-175,-792,-880,-783,-347,-510,-214,348,549.3941516,
"Texarkana, TX-AR",33.425125,-94.0476882,149198,150355,37,-89,-349,-384,-606,-94,116,-196,#N/A,
"Odessa, TX",31.8456816,-102.3676431,137130,157087,-433,1345,3290,3453,2943,3251,-3943,-2078,897.6871835,
"Hattiesburg, MS",31.3271189,-89.2903392,142842,148877,244,1084,468,442,-524,-78,-218,-729,1610.621149,
"St. George, UT",37.0965278,-113.5684164,138115,165662,-15,1541,1810,1876,2949,2484,3672,5496,2426.357548,
"Dothan, AL",31.2232313,-85.3904888,145639,147914,207,386,607,-73,249,112,-299,77,1715.982623,
"Grand Junction, CO",39.0638705,-108.5506486,146723,151616,-447,268,-357,-609,-397,568,1471,1506,3328.97404,
"Santa Fe, NM",35.6869752,-105.937799,144170,148750,187,487,422,249,167,124,626,698,1909.413936,
"Florence-Muscle Shoals, AL",34.79981,-87.677251,147137,147038,97,110,279,325,518,-368,175,667,1260.316752,
"Wheeling, WV-OH",40.0639616,-80.7209149,147950,141254,19,-259,-281,-164,-646,-444,-780,-1206,943.3797184,
"Coeur d'Alene, ID",47.6776832,-116.7804664,138494,157637,227,1504,748,1346,2111,2366,3239,4010,1244.124628,
"Valdosta, GA",30.8327022,-83.2784851,139588,145437,214,913,978,-2128,-412,-970,229,296,1589.2676,
"Dalton, GA",34.7698021,-84.9702228,142227,144440,-169,-743,-731,-1000,-168,23,-130,-297,634.9298854,
"Sebastian-Vero Beach, FL",27.816415,-80.4706078,138028,154383,340,1234,1867,2070,3197,3842,4511,3835,502.8717357,1318355.1
"Rapid City, SD",44.0805434,-103.2310149,134598,146850,154,389,1192,1500,1024,-155,892,1302,6247.537166,
"Johnstown, PA",40.3267407,-78.9219698,143679,133054,-96,-378,-639,-2280,-885,-917,-1087,-788,688.3506259,
"Napa, CA",38.2975381,-122.286865,136484,140973,215,786,592,946,644,358,-50,-808,748.3615129,
"Homosassa Springs, FL",28.8037059,-82.5761369,141236,145647,299,-170,695,1096,1443,3034,4044,4127,581.6962299,1879529.4
"Idaho Falls, ID",43.4916514,-112.0339645,133265,145643,9,-550,-224,-824,-299,172,1514,1753,2959.578116,
"Flagstaff, AZ",35.1982836,-111.651302,134421,140776,-76,-1538,792,-484,-175,580,703,-29,18618.88514,2408680.8
"Springfield, OH",39.9242266,-83.8088171,138333,134557,-127,-531,-520,-389,-254,-440,-834,63,397.4729821,
"Morgantown, WV",39.629526,-79.9558968,129709,138709,462,1538,1591,846,862,393,409,-122,1008.86671,
"La Crosse-Onalaska, WI-MN",43.8013556,-91.2395807,133665,136934,114,-100,852,88,162,-11,-206,229,#N/A,
"Lebanon, PA",40.3409251,-76.4113497,133568,139754,87,545,830,2,560,837,933,1104,361.8327892,
"Wausau, WI",44.9591352,-89.6301221,134063,135732,-121,-199,-440,107,-165,-336,-596,78,1544.983231,
"Battle Creek, MI",42.3211522,-85.1797142,136146,134128,-163,-1114,-604,-253,-198,-672,-130,-272,706.2331169,
"Winchester, VA-WV",39.1856597,-78.1633341,128472,137887,104,790,576,1014,834,333,971,1896,1062.977468,
"Lawton, OK",34.6035669,-98.3959291,130291,127349,923,-670,-745,-2897,-908,-1993,-2794,-557,1069.286629,2007803.2
"Jackson, TN",35.6145169,-88.8139469,130011,129235,-51,-628,-3,-140,-890,-814,-347,-62,842.8527669,
"Logan, UT-ID",41.7369803,-111.8338359,125442,138002,131,-676,-934,-770,-981,6,971,286,1828.457374,
"Pittsfield, MA",42.4500845,-73.2453824,131219,126313,66,-567,-98,-332,-299,-628,-302,-165,926.8249254,2825923.1
"Sierra Vista-Douglas, AZ",31.5455001,-110.2772856,131346,124756,296,602,-1628,-2923,-2783,-1338,-913,-808,6165.690298,
"Harrisonburg, VA",38.4495688,-78.8689155,125228,134442,75,926,1244,188,955,419,1380,696,866.5036969,
"Glens Falls, NY",42.2548097,-74.0270786,128923,126152,100,-188,-391,-510,-345,-392,-278,23,1698.136048,
"St. Joseph, MO-KS",39.7674578,-94.846681,127329,126935,-160,87,0,-337,-598,-648,-212,-341,1655.490855,
"New Bern, NC",35.108493,-77.0441143,126802,124864,425,128,-352,-1710,-753,-1610,-508,-677,1516.203138,
"Carbondale-Marion, IL",37.7272727,-89.2167501,126575,125612,114,12,-1524,1085,-622,-157,-598,-1360,#N/A,
"Farmington, NM",36.7280583,-108.2186856,130044,126926,-88,-1628,-948,-1397,-1351,-1680,-1034,-1507,5513.066613,
"Altoona, PA",40.5186809,-78.3947359,127089,123457,-2,186,-217,-324,-284,-373,-558,-99,525.7998497,
"Jonesboro, AR",35.8422967,-90.704279,121026,131269,115,998,860,1027,476,1044,803,894,1465.595083,
"Hammond, LA",30.5043583,-90.4611995,121097,132497,183,375,273,1043,748,1055,1132,1213,791.2746055,
"Goldsboro, NC",35.3848841,-77.9927651,122623,124172,56,701,-185,-451,-690,-757,-391,-594,553.0869475,
"Beckley, WV",37.7781702,-81.1881557,124898,118543,100,311,-66,-526,-867,-903,-1214,-1338,605.3506796,
"Bismarck, ND",46.8083268,-100.7837392,114778,132142,297,1412,2113,2832,1878,1911,925,-124,3558.923498,
"Sherman-Denison, TX",33.6356618,-96.6088805,120877,131140,131,164,312,427,1046,1838,2487,2672,932.8037454,
"Weirton-Steubenville, WV-OH",40.4189566,-80.5895167,124454,118250,-19,-239,-185,-22,-129,-232,-842,-418,#N/A,
"Mansfield, OH",40.75839,-82.5154471,124475,120589,-302,-1107,-600,-333,-431,-255,-472,-587,495.2685846,
"Staunton-Waynesboro, VA",38.149576,-79.0716958,118502,121999,-133,394,-332,788,383,653,692,1045,1002.013122,
"Watertown-Fort Drum, NY",43.9747838,-75.9107565,116229,114187,135,-26,2271,-3697,-1429,-4034,-3295,-826,1268.589804,
"Mount Vernon-Anacortes, WA",48.421216,-122.3340474,116901,125619,-13,248,-173,277,1205,1286,1688,1960,1731.202982,
"Albany, OR",44.6365107,-123.1059282,116672,125047,89,899,-171,-76,407,1006,2263,2087,#N/A,1908016
"Cleveland, TN",35.1595182,-84.8766115,115788,122317,80,602,898,583,894,997,494,1036,763.4380781,
"Muncie, IN",40.1933767,-85.3863599,117671,115184,-69,119,-894,-219,-361,-588,-376,-286,392.1239311,
"Williamsport, PA",41.2411897,-77.0010786,116111,113841,35,560,430,-688,-309,-713,-711,-714,1228.594417,
"Anniston-Oxford-Jacksonville, AL",33.6598257,-85.8316318,118572,114728,-115,-746,-560,-630,-459,-359,-416,-165,#N/A,
"San Angelo, TX",31.4637723,-100.4370375,111823,119535,254,545,996,888,1130,493,-438,-413,2573.534809,
"Owensboro, KY",37.7719074,-87.1111676,114752,118376,-3,126,288,69,-200,593,104,100,898.4729115,
"Morristown, TN",36.2139814,-83.2948922,113951,118081,48,408,162,213,301,1022,617,1310,715.8570379,2973657.6
"Sheboygan, WI",43.7508284,-87.71453,115507,115344,-131,-607,-618,-197,168,102,-268,45,511.2654379,
"Lawrence, KS",38.9716689,-95.2352501,110826,120793,225,546,156,845,1209,973,1001,638,455.8707836,
"Brunswick, GA",31.1499528,-81.4914894,112370,118119,81,164,154,269,672,1143,782,1089,1286.414362,
"Wenatchee, WA",47.4234599,-120.3103494,110884,118478,199,113,361,8,373,1183,1197,744,#N/A,1326421.2
"Kankakee, IL",41.1200325,-87.8611531,113449,109605,-95,-265,-895,-1016,-1117,-862,-855,-616,#N/A,
"Missoula, MT",46.8625,-114.011667,109299,117441,30,351,390,184,485,931,1748,1174,2593.423635,
"Michigan City-La Porte, IN",41.7075394,-86.8950297,111467,110029,-116,-324,-154,-26,114,-953,-763,-307,598.2992091,1473460.6
"California-Lexington Park, MD",38.3004029,-76.5074542,105151,112667,429,971,563,-180,118,365,161,239,#N/A,
"Decatur, IL",39.8403147,-88.9548001,110768,105801,-97,-338,-677,-789,-1106,-1165,-909,-1009,580.6886657,
"Sumter, SC",33.9204354,-80.3414693,107456,106847,-44,-761,44,-596,-567,-773,-342,-829,665.0658119,
"Lewiston-Auburn, ME",44.100351,-70.2147764,107702,107651,-128,-620,-188,-461,-218,-324,6,188,467.927434,
"The Villages, FL",28.927019,-82.0037608,93420,125165,977,4354,4476,6072,6165,5851,6266,4388,546.9325487,
"Bay City, MI",43.5944677,-83.8888647,107771,104239,-74,-285,-323,-55,-675,-526,-612,-94,442.3023381,
"Lima, OH",40.742551,-84.1052256,106331,103198,-70,-638,-906,-356,-433,-898,-607,-596,402.4956459,
"Gadsden, AL",34.014264,-86.0066386,104430,102755,72,14,169,-177,-302,-200,5,286,534.9905073,
"Ithaca, NY",42.4439614,-76.5018807,101564,104802,41,57,800,845,-45,-168,111,50,474.6487192,
"Longview, WA",46.1381676,-122.9381672,102410,106910,-41,-377,-805,-249,305,1147,1635,2000,1140.125216,
"Fond du Lac, WI",43.7730448,-88.4470508,101633,102548,-97,84,-227,-187,50,-169,114,184,719.5528029,
"Gettysburg, PA",39.8309293,-77.2310955,101407,102336,-11,-131,-229,-165,128,448,68,640,518.6675402,
"Cumberland, MD-WV",39.6528654,-78.7625185,103299,98837,-76,-299,-538,-299,-491,-331,-97,-425,751.9875382,
"Grand Forks, ND-MN",47.9252568,-97.0328547,98461,102414,-16,-1039,409,1142,-28,-137,-239,-464,3407.504432,
"Fairbanks, AK",64.8377778,-147.7163889,97581,99703,299,-1502,1028,-687,-2929,-877,-233,-2110,7338.209441,
"Mankato-North Mankato, MN",44.1635775,-93.9993996,96740,100939,-55,-35,198,-651,445,89,401,650,1196.337306,
"Manhattan, KS",39.1836082,-96.5716694,92719,98080,279,1059,3257,-1350,-1295,-89,-2477,-828,1835.411095,
"Sebring, FL",27.495592,-81.440907,98786,102883,66,310,321,486,943,1907,2255,1926,1016.614791,
"Victoria, TX",28.8052674,-97.0035982,94003,99646,-63,104,1182,577,487,568,-184,-743,2240.997415,
"Cape Girardeau, MO-IL",37.3058839,-89.5181476,96275,96782,83,370,-19,-182,51,-264,-280,-412,#N/A,
"Hot Springs, AR",34.5037004,-93.0551795,96024,98658,136,936,414,960,338,317,701,602,677.7810855,
"Ocean City, NJ",39.2776156,-74.5746001,97265,93553,87,-273,132,-183,-184,-338,-72,50,251.4248811,
"Rome, GA",34.257038,-85.1646726,96317,97613,-2,-525,-341,-218,-60,167,247,855,509.910615,
"Pine Bluff, AR",34.2284312,-92.0031955,100258,90963,-233,-1319,-1758,-1702,-1027,-895,-1612,-1455,2030.045642,
"Cheyenne, WY",41.1399814,-104.8202462,91738,98327,204,-139,1569,525,-96,430,438,-107,2685.911871,
"Dubuque, IA",42.5005583,-90.6645718,93653,97041,133,381,240,510,192,135,-457,-14,608.3046281,
"Parkersburg-Vienna, WV",39.2667418,-81.5615135,92673,90898,54,-10,-131,2,-78,33,-543,-469,#N/A,
"Ames, IA",42.034722,-93.62,89542,97502,-95,673,472,1241,1422,659,92,306,572.8184327,
"Elmira, NY",42.0897965,-76.8077338,88830,85557,91,-46,95,-932,-1016,-385,-946,-488,407.3515696,
"Corvallis, OR",44.5645659,-123.2620435,85579,90951,-137,208,238,-622,859,1011,1005,1474,675.9414476,
"Bloomsburg-Berwick, PA",41.003698,-76.4549457,85562,84204,55,-191,121,150,42,-399,-417,-30,613.3504719,
"Grand Island, NE",40.9263957,-98.3420118,81850,85045,88,241,288,111,17,-320,-165,-445,1600.506793,
"Midland, MI",43.6155825,-84.2472116,83629,83411,-61,-57,-278,-186,-317,19,-269,-109,516.2525378,
"Grants Pass, OR",42.4390069,-123.3283925,82713,86352,173,244,448,738,561,1373,1265,1317,1639.667774,
"Pocatello, ID",42.8713032,-112.4455344,82839,85269,-45,-179,-500,-987,-448,-114,-161,344,2516.231501,
"Kokomo, IN",40.486427,-86.1336033,82752,82363,-49,-99,-48,-158,-144,-154,-4,1,553.5974333,
"Great Falls, MT",47.4941836,-111.2833449,81327,81654,89,-183,-470,141,-479,-535,-566,-123,2698.157898,
"Casper, WY",42.866632,-106.313081,75450,79547,-59,588,1727,2043,-163,263,-1659,-1727,5340.351682,
"Hinesville, GA",31.846877,-81.5959453,77917,80400,-979,1915,-1476,-2921,1036,-3271,-650,-825,#N/A,
"Danville, IL",40.124481,-87.6300207,81625,77909,-91,-303,-727,-345,-843,-595,-741,-772,898.3684747,
"Columbus, IN",39.2014404,-85.9213796,76794,82040,-14,507,960,300,473,598,234,-241,406.9078112,
"Walla Walla, WA",46.0645809,-118.3430209,62859,64614,127,282,-269,-40,-9,360,67,574,1270.129018,
"Lewiston, ID-WA",46.4004089,-117.0011889,60888,62920,104,353,50,548,129,75,389,528,1484.304753,
"Carson City, NV",39.1637984,-119.7674034,55274,54745,-258,-233,-229,-457,444,41,394,545,144.6620544,
